Trial 47 finished with values: [10.689822959899903, 0.846987497806549] and parameters: {'resnet2d_inplanes_0': 44, 'resnet3d_inplanes_0': 29, 'resnet2d_inplanes_1': 48, 'resnet3d_inplanes_1': 28, 'resnet2d_inplanes_2': 56, 'resnet3d_inplanes_2': 26, 'optimizer': 'Adam', 'lr': 0.013506579943797555, 'weight_decay': 8.549345482151239e-05, 'batch_size': 3}. 
Trial 48 finished with values: [9.425245761871338, 0.8218436002731323] and parameters: {'resnet2d_inplanes_0': 59, 'resnet3d_inplanes_0': 23, 'resnet2d_inplanes_1': 58, 'resnet3d_inplanes_1': 28, 'resnet2d_inplanes_2': 56, 'resnet3d_inplanes_2': 29, 'optimizer': 'Adam', 'lr': 3.51131041657101e-05, 'weight_decay': 0.00018085240129573537, 'batch_size': 3}. 
Trial 49 finished with values: [11.395252466201782, 0.8405176401138306] and parameters: {'resnet2d_inplanes_0': 40, 'resnet3d_inplanes_0': 29, 'resnet2d_inplanes_1': 59, 'resnet3d_inplanes_1': 27, 'resnet2d_inplanes_2': 60, 'resnet3d_inplanes_2': 22, 'optimizer': 'SGD', 'lr': 8.300778566392739e-05, 'weight_decay': 4.36897662431666e-05, 'batch_size': 4}. 
Trial 50 finished with values: [7.536319732666016, 0.7245403613362994] and parameters: {'resnet2d_inplanes_0': 42, 'resnet3d_inplanes_0': 16, 'resnet2d_inplanes_1': 48, 'resnet3d_inplanes_1': 20, 'resnet2d_inplanes_2': 61, 'resnet3d_inplanes_2': 29, 'optimizer': 'Adam', 'lr': 0.0005683303703095466, 'weight_decay': 0.0004455048522935195, 'batch_size': 2}. 
Trial 51 finished with values: [9.21352584021432, 0.8352662920951843] and parameters: {'resnet2d_inplanes_0': 36, 'resnet3d_inplanes_0': 30, 'resnet2d_inplanes_1': 55, 'resnet3d_inplanes_1': 28, 'resnet2d_inplanes_2': 57, 'resnet3d_inplanes_2': 30, 'optimizer': 'Adam', 'lr': 0.0008882136680866258, 'weight_decay': 0.00041412711575945576, 'batch_size': 2}. 
Trial 52 finished with values: [9.186693286895752, 0.8113104462623596] and parameters: {'resnet2d_inplanes_0': 44, 'resnet3d_inplanes_0': 29, 'resnet2d_inplanes_1': 47, 'resnet3d_inplanes_1': 29, 'resnet2d_inplanes_2': 46, 'resnet3d_inplanes_2': 20, 'optimizer': 'SGD', 'lr': 0.0004408847038308015, 'weight_decay': 0.00011731215247938805, 'batch_size': 3}. 
Trial 53 finished with values: [8.479660868644714, 0.7986481040716171] and parameters: {'resnet2d_inplanes_0': 38, 'resnet3d_inplanes_0': 28, 'resnet2d_inplanes_1': 37, 'resnet3d_inplanes_1': 17, 'resnet2d_inplanes_2': 57, 'resnet3d_inplanes_2': 24, 'optimizer': 'Adam', 'lr': 7.128790478344418e-05, 'weight_decay': 2.109734419668891e-06, 'batch_size': 4}. 
Trial 54 finished with values: [9.459323024749756, 0.7674854040145874] and parameters: {'resnet2d_inplanes_0': 46, 'resnet3d_inplanes_0': 31, 'resnet2d_inplanes_1': 44, 'resnet3d_inplanes_1': 29, 'resnet2d_inplanes_2': 37, 'resnet3d_inplanes_2': 27, 'optimizer': 'Adam', 'lr': 6.330615562006416e-05, 'weight_decay': 2.505878748516921e-05, 'batch_size': 3}. 
Trial 55 finished with values: [8.329620293208531, 0.8143450021743774] and parameters: {'resnet2d_inplanes_0': 36, 'resnet3d_inplanes_0': 28, 'resnet2d_inplanes_1': 44, 'resnet3d_inplanes_1': 28, 'resnet2d_inplanes_2': 47, 'resnet3d_inplanes_2': 24, 'optimizer': 'SGD', 'lr': 0.00012015949473786927, 'weight_decay': 2.1927765117798513e-05, 'batch_size': 2}. 
Trial 56 finished with values: [10.778508567810059, 0.8460112094879151] and parameters: {'resnet2d_inplanes_0': 44, 'resnet3d_inplanes_0': 24, 'resnet2d_inplanes_1': 50, 'resnet3d_inplanes_1': 17, 'resnet2d_inplanes_2': 57, 'resnet3d_inplanes_2': 27, 'optimizer': 'Adam', 'lr': 0.025162185420290865, 'weight_decay': 0.00011731215247938805, 'batch_size': 3}. 
