Trial 58 finished with values: [9.440224289894104, 0.8547731190919876] and parameters: {'resnet2d_inplanes_0': 38, 'resnet3d_inplanes_0': 23, 'resnet2d_inplanes_1': 45, 'resnet3d_inplanes_1': 21, 'resnet2d_inplanes_2': 39, 'resnet3d_inplanes_2': 24, 'optimizer': 'RMSprop', 'lr': 3.955243415088292e-05, 'weight_decay': 0.003404490268116546, 'batch_size': 3}. 
Trial 59 finished with values: [10.830304781595865, 0.822758952776591] and parameters: {'resnet2d_inplanes_0': 46, 'resnet3d_inplanes_0': 20, 'resnet2d_inplanes_1': 40, 'resnet3d_inplanes_1': 16, 'resnet2d_inplanes_2': 56, 'resnet3d_inplanes_2': 20, 'optimizer': 'RMSprop', 'lr': 0.030296158304576215, 'weight_decay': 5.4930300397108316e-05, 'batch_size': 4}. 
Trial 60 finished with values: [9.869952837626139, 0.8312565386295319] and parameters: {'resnet2d_inplanes_0': 38, 'resnet3d_inplanes_0': 23, 'resnet2d_inplanes_1': 58, 'resnet3d_inplanes_1': 16, 'resnet2d_inplanes_2': 40, 'resnet3d_inplanes_2': 22, 'optimizer': 'RMSprop', 'lr': 0.004173195123931719, 'weight_decay': 0.003404490268116546, 'batch_size': 2}. 
Trial 61 finished with values: [9.223589181900024, 0.8194930652777354] and parameters: {'resnet2d_inplanes_0': 60, 'resnet3d_inplanes_0': 20, 'resnet2d_inplanes_1': 39, 'resnet3d_inplanes_1': 27, 'resnet2d_inplanes_2': 48, 'resnet3d_inplanes_2': 21, 'optimizer': 'SGD', 'lr': 7.634631228130862e-05, 'weight_decay': 0.004063128620124924, 'batch_size': 2}. 
Trial 62 finished with values: [10.271421194076538, 0.8107369542121887] and parameters: {'resnet2d_inplanes_0': 55, 'resnet3d_inplanes_0': 32, 'resnet2d_inplanes_1': 32, 'resnet3d_inplanes_1': 17, 'resnet2d_inplanes_2': 32, 'resnet3d_inplanes_2': 32, 'optimizer': 'RMSprop', 'lr': 0.0003377653606540578, 'weight_decay': 0.0034930786190487183, 'batch_size': 3}. 
Trial 63 finished with values: [7.781190554300944, 0.7489494283994039] and parameters: {'resnet2d_inplanes_0': 36, 'resnet3d_inplanes_0': 25, 'resnet2d_inplanes_1': 55, 'resnet3d_inplanes_1': 27, 'resnet2d_inplanes_2': 62, 'resnet3d_inplanes_2': 32, 'optimizer': 'Adam', 'lr': 0.0014812962402133835, 'weight_decay': 0.004063128620124924, 'batch_size': 5}. 
Trial 64 finished with values: [14.976462682088217, 0.8551636139551798] and parameters: {'resnet2d_inplanes_0': 55, 'resnet3d_inplanes_0': 16, 'resnet2d_inplanes_1': 54, 'resnet3d_inplanes_1': 16, 'resnet2d_inplanes_2': 32, 'resnet3d_inplanes_2': 29, 'optimizer': 'RMSprop', 'lr': 0.0016066889074362683, 'weight_decay': 0.0005216847030822041, 'batch_size': 5}. 
Trial 65 finished with values: [8.879502058029175, 0.7980511883894602] and parameters: {'resnet2d_inplanes_0': 50, 'resnet3d_inplanes_0': 19, 'resnet2d_inplanes_1': 58, 'resnet3d_inplanes_1': 18, 'resnet2d_inplanes_2': 42, 'resnet3d_inplanes_2': 28, 'optimizer': 'RMSprop', 'lr': 0.0008470194326700585, 'weight_decay': 0.00040161100295631885, 'batch_size': 2}. 
Trial 66 finished with values: [7.780227502187093, 0.7808907230695089] and parameters: {'resnet2d_inplanes_0': 32, 'resnet3d_inplanes_0': 21, 'resnet2d_inplanes_1': 53, 'resnet3d_inplanes_1': 19, 'resnet2d_inplanes_2': 48, 'resnet3d_inplanes_2': 20, 'optimizer': 'SGD', 'lr': 0.0014246224383225457, 'weight_decay': 0.0003544354045077697, 'batch_size': 4}. 
Trial 67 finished with values: [10.789858182271322, 0.8369625210762024] and parameters: {'resnet2d_inplanes_0': 57, 'resnet3d_inplanes_0': 17, 'resnet2d_inplanes_1': 49, 'resnet3d_inplanes_1': 30, 'resnet2d_inplanes_2': 50, 'resnet3d_inplanes_2': 30, 'optimizer': 'SGD', 'lr': 0.0015168578377297722, 'weight_decay': 3.3549857863103884e-05, 'batch_size': 5}. 
